all_ids,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
0x0001f1c389823f953b2eaee0a61c33539744da0c,0,0,0,0,0,0,0,129.613,106.645,108.575,70.879,80.144
0x000f697092696c27b0bb489ea4c11280ef72ab82,0,0,0,0,0,0,0,0,0,438.427,585.665,476.649
0x0019979ee12c59accd24d1c83291528ced1bb734,0,0,0,0,0,0,0,0,174.89000000000001,164.46,190.814,178.122
0x001d6227832325ab6167b82d6d7175d254f57c3a,0,0,0,0,0,0,0,0,0,0,141.91,119.231
0x005958406351bb29580475df698b5f1070096397,0,0,0,0,0,0,0,0,0,0,0,286.262
0x00735e1aa83d97d9209cce47d8777b4ff3cc0554,0,0,0,153.154,115.649,135.018,130.356,131.989,128.476,135.096,162.266,143.309
0x0079fa6c2cbd3de97c8aa6073ff365b41ee087ab,0,0,0,0,0,0,133.8,128.883,113.46000000000001,113.386,140.874,113.919
0x00abd22316a37be131988c4a73481b9fddf62972,570.47,428.843,482.666,481.669,307.129,374.677,405.01800000000003,371.657,338.045,335.795,517.987,508.866
0x00c4c38cc020ab9e2661c947ac2dbb2a01ab6f37,0,0,0,0,0,0,188.78,173.58700000000002,230.692,368.641,518.188,515.845
0x00ccc38991cba95ffbf45868dfe35c5fd961dc70,0,0,0,0,0,0,0,0,0,308.512,351.1,283.921
0x00fdcb3091a9ef16dc7d6730f591bc566fa4c6f5,0,0,0,0,0,0,0,0,0,0,817.61,1084.25
0x010005a13203263c1b7a6574dcff1af96bb5f640,0,0,0,0,0,0,0,0,0,0,344.057,208.789
0x0105c035004a9aaa6cbe13d491c92ddbef2367a3,0,0,0,0,0,373.585,365.293,410.313,348.105,343.25,627.971,737.268
0x010edb5fc8be32fca4501659b40836d49fc5bcd2,0,0,0,0,0,0,0,0,0,202.612,540.734,455.23400000000004
0x01677d548e22c7ec6f3117acab686a133aa6265f,0,0,0,0,0,0,0,0,466.158,408.108,500.568,803.049
0x016e8a66f02509f4909d69f57f21e9d235c25b59,0,0,0,0,0,0,0,270.897,185.006,217.493,295.333,276.592
0x01794377dd73839621a335c47fbfe092437199fb,0,0,0,0,0,0,0,0,0,0,0,1334.763
0x01842e2ab2e8c1497d71fa2257a9ecb92cc9a64b,0,0,358.437,345.975,285.303,329.124,310.868,317.827,278.573,276.992,397.991,396.457
0x01d5bdc4ea235ada6275f2be25c883aed05746bd,0,0,0,0,74.166,83.47,85.383,87.847,91.22,98.441,123.285,116.855
0x01e43588f52d3b8fb8036c501ad50719e943ff59,0,403.121,369.032,327.014,221.342,247.267,216.825,237.044,216.696,232.631,301.742,274.557
0x01f5bc12147eeb21551644d2bdfe88c6a5d456c2,0,0,0,0,0,0,0,56.102000000000004,33.816,40.341,48.616,68.291
0x024dde4050a50ee78153c99ea37fda1326fc6468,0,0,0,0,0,7.07,0,2.695,0,301.582,367.904,293.293
0x024f70468142086aa7be94f5c61202a46b956c87,0,0,0,0,190.02700000000002,213.928,202.329,193.71,178.51,171.152,303.907,348.031
0x0253ba1cb53dedec5c364022f7e41b867c831952,0,0,0,0,85.397,108.70100000000001,109.18,105.788,102.313,98.544,121.268,98.974
0x028c5cee0aa4c81e2dfe1a4543e4f91dc418d492,0,0,0,0,0,0,248.984,266.66,233.531,218.339,245.472,222.037
0x02a700cee0fc52aa0c3bcba232a054db24a158bc,0,320.176,319.46,352.878,270.622,93.485,105.423,85.977,123.246,365.168,666.329,490.891
0x02acbcd0c3a300d0164711a228e27a14f9e790fe,0,0,0,0,0,0,0,0,0,0,294.658,248.101
0x02ada04ebf47888061f12315c06d7922f721fb3c,0,0,0,0,0,35.305,30.48,63.533,69.709,80.862,221.053,234.61
0x02b365606db768788027703f9253e423e8478c88,0,0,79.999,78.904,63.717,74.558,76.997,75.01,68.199,59.975,65.703,61.209
0x02b7418b821b2edeeb2baa23ba1580566b4b0e43,0,0,0,0,0,0,0,0,0,168.544,210.935,188.319
0x02ca4bec05a03251a06d9642462f4a4409fac7fb,181.283,162.248,154.922,153.162,122.192,144.207,145.63400000000001,147.079,134.168,133.45600000000002,165.122,110.864
0x02d351d8c21892c728424d731c4d6c2c57d50a96,0,0,0,0,0,0,0,0,0,68.641,111.459,75.475
0x02f59bba97ebcf07450e390b4606bb6135bee369,0,0,0,0,0,0,0,0,0,0,281.759,256.649
0x03059a7206eb5d836a4d1bd20547652ba3ceec0e,0,345.902,291.235,285.095,201.426,270.512,238.04,278.302,245.636,245.654,303.618,293.35699999999997
0x0315e96dbc5a69c4d82bb640852f9a1220e14c3f,0,0,0,0,0,0,0,0,0,170.87800000000001,225.411,216.787
0x034107ab7f0ab0de0b643df045284727a002c99a,0,0,0,0,0,0,0,83.605,52.773,57.094,81.1,69.935
0x035294ea4e653a9eb6327d34debe49821bb9cf92,0,0,0,282.396,179.102,234.902,229.3,249.367,171.162,238.689,306.364,267.275
0x0361aa6f72fe3edc5dbf5c3769cb7198bf46ed7b,0,0,0,0,0,0,0,0,0,0,0,229.288
0x0373dd8293bcb6568497cc58e65a7aee8d612d90,0,436.57800000000003,431.16700000000003,358.93399999999997,239.686,125.791,174.369,186.529,165.733,200.137,390.166,347.042
0x03779dce72acad6a0896aa0ee104767285d6bdb5,0,0,0,0,0,0,0,0,0,121.909,208.395,151.91400000000002
0x0380999fe8f2eee8d4a128e0ca600f2b72aeb18d,0,0,0,0,0,0,150.693,145.835,129.112,129.02100000000002,141.885,114.614
0x038259accbcd1524d614c3b57e1f5e50c6aa8763,0,0,0,0,0,0,0,0,0,0,0,505.105
0x0396ee61b4dfbd3efca51fccb89107664cb62e55,0,0,0,314.737,224.429,247.158,249.203,308.242,239.858,234.665,267.239,210.64600000000002
0x03a27be91a69c19708c16516ec663123f1e08c07,0,0,0,0,0,0,109.435,89.907,94.102,100.97,67.63300000000001,51.613
0x03af6c9f393bb5c728bb68b76f44a30d78e936f8,0,305.225,287.869,281.43,159.05,215.401,201.635,244.369,219.566,208.874,294.796,335.27
0x040a8ac41cfb11b3af45316327064d72fd1d77c3,0,0,0,168.62,138.442,144.20600000000002,142.842,133.739,137.338,127.355,155.63,122.824
0x04231692b4fca6818852edfcca6b0f8a5069486a,0,0,0,0,0,0,0,0,0,0,548.236,449.471
0x04739a9e68fd1b7021fb4eba92f9f7f3da113ca7,0,0,0,0,326.056,375.245,362.157,374.453,245.579,174.514,261.24,170.93
0x048e84a3fc6b04dda1f402a4faffee50f217a404,0,0,0,0,144.797,147.513,157.38,168.105,155.302,141.095,181.988,175.698
0x049c6a882028264dc4dc6d0cf1afff9fabd55b7d,0,0,0,0,0,0,0,0,0,0,0,190.268
0x04a0d9ea035722393574803ae4eec132a25bf736,0,0,0,0,0,0,0,0,0,0,142.589,71.665
0x04a3fd40dbe82c467ba0e19449c50f4f5c2111a8,0,0,0,0,193.84,277.543,260.84,278.595,237.871,185.29,243.499,315.872
0x04a52d0fb594fab3f04ace809a5ce9dab9241f20,0,110.995,119.51,107.965,90.87,113.182,113.186,112.998,100.467,100.232,118.559,102.227
0x04c4870144f5e5aa68dfe6f1256dbce9fa76ace9,0,100.082,93.407,92.257,69.536,90.036,93.572,92.386,71.911,79.07000000000001,100.786,84.521
0x04f736987761543580fc53cf5cc30602f0877321,0,0,0,0,116.811,144.041,140.212,130.809,116.803,153.194,268.866,202.446
0x04f98bf031c0da84f608c96eb2f6db665328b50b,0,0,0,0,0,0,0,0,0,239.73,302.413,321.919
0x04fe27993245f54ea1b97436b3711e6ed07bfd62,0,0,0,162.677,116.407,157.969,149.353,151.98,162.526,164.043,238.109,195.058
0x05183cd5d2ca15b74f27e74fa5c7e342733bb625,0,0,0,0,0,70.397,65.17,62.747,54.473,75.12,73.731,92.555
0x0539ff9229c05e9a58e00eca098f32c6d893b081,0,0,0,0,0,0,0,0,0,262.755,342.996,281.802
0x0543f7ad6b16336cefc4562123d65dd96b2754b6,0,0,0,0,99.747,85.205,81.45,95.246,103.736,114.441,180.467,211.268
0x054daf21ca12e28134f419795733a796034e0877,0,0,0,0,0,0,0,0,0,0,489.959,416.394
0x0555380b5518bd7385bea1c6e8d72e1c670ec37c,0,0,0,0,0,218.58,213.25300000000001,206.198,191.686,213.452,284.84,255.998
0x05620bbf63dc8730eaf663a3634d5bc95595d8c5,0,0,0,78.731,205.00300000000001,238.06799999999998,237.196,253.963,138.536,146.816,161.18,175.835
0x0562f4ceaf47d5c27825e55b82e693674aab5aa4,0,0,0,394.644,308.637,351.95300000000003,345.04200000000003,319.112,336.847,326.092,369.39,295.02
0x058824c7901afb5e2254d9bfa6a2d69ac1bce9aa,299.236,281.81,291.511,308.191,246.71699999999998,279.969,260.668,255.223,226.658,230.775,274.89300000000003,264.736
0x059271d199b5362fc0b1ddfbdbf9d2caa097a4e4,0,0,0,0,0,0,0,0,0,179.217,204.443,204.577
0x05986500b5a3c8fa00cc73157a44f700f6329e0e,0,0,0,0,0,108.947,163.435,102.546,89.776,87.756,118.432,102.958
0x05bb60d698ba6caee8d6162fb8453b872142d7c9,0,0,0,0,0,0,0,0,0,0,290.372,238.335
0x05c8739e70e32861e106daffaa444784ebf5400a,0,0,0,458.378,228.186,192.372,74.341,193.585,193.758,209.306,467.956,425.474
0x05cd53cdc0ed63f9be4cf6954daa040390a6e630,0,0,0,0,0,0,0,0,0,0,498.551,253.477
0x05fdd03daac53e3121260e24f78452cb7e44c487,0,464.14300000000003,480.375,463.652,408.472,415.658,438.701,413.441,375.047,312.868,359.771,355.511
0x0602cd059a03ec0b98d70034a3582b4cbd6c39ef,0,0,0,0,0,0,0,300.838,249.846,256.276,343.475,294.872
0x061fbbbccd5601d3472c72442e1b5570f9a5e4f9,0,0,0,0,0,164.894,186.617,168.022,189.187,143.564,147.544,167.121
0x0629a9612e2d9fcb173ae59759894e97c39d8a4a,0,485.386,403.135,361.31,296.054,366.145,356.64,314.793,324.635,294.795,389.132,316.684
0x06451f569f4d58af40f62c5b7c0a8599343c399e,0,0,0,0,0,0,0,0,0,0,0,105.187
0x064ecc088bd6c9d6c4032cc1fd4764d51a0d4633,0,0,0,126.577,81.099,130.723,130.079,128.988,99.95400000000001,106.239,50.593,20.248
0x067ae210f71a5fe0e54032b3506fc4b37e44e622,0,0,0,0,0,0,0,0,283.06,362.236,729.058,206.303
0x0687808b002b6faf798d21c53964a9ec14748ac5,0,0,0,0,0,0,0,0,0,0,0,172.077
0x0689003152e003b6771ca7eaf368a7d4b75cf74b,0,0,0,0,0,305.184,323.19,355.828,312.183,276.805,375.275,264.405
0x06991c60d4b9e0d83e54774cf08d5ef17d08cc09,0,0,0,0,0,0,246.389,260.2,228.15,237.75900000000001,246.944,222.62800000000001
0x06a92c16c652c64578713c792b348a8d25e56413,0,0,0,0,0,0,0,0,0,0,193.465,147.355
0x06aba999162dcb27c829e6c0af3cbd5fafca2573,0,0,0,0,0,0,0,341.47,332.603,342.504,440.133,400.087
0x06cd4a2598c53da84a43a42eb7b13e8506a653a1,0,0,0,0,0,0,0,238.857,207.901,225.526,311.224,287.188
0x06f762afdc7b9efa97a076ec3cf1c60f17f939d8,0,0,0.603,49.912,30.92,48.63,18.424,34.076,28.538,44.608000000000004,800.334,231.716
0x06fac039acafbe928a6013445131fb21b8be57bd,0,0,0,256.467,220.397,252.735,248.816,235.952,241.598,233.968,286.867,265.714
0x07030d3f930bf95de49858614dd25363ca0b1b98,0,0,0,0,0,162.913,175.58,180.53,174.774,169.682,210.67600000000002,205.063
0x07038098e74a44920ff5619c3838c39559d5cff1,0,0,0,330.366,252.179,286.124,258.868,255.255,235.87,210.737,268.609,229.571
0x07206203a8cb91ca9d985b35cc8df0d855b78676,334.598,306.744,321.247,293.782,226.119,247.596,245.007,259.77,235.46800000000002,279.24,306.389,247.683
0x07228c31c4fe9b8e66459193642db424f195c2f0,348.63800000000003,289.776,313.524,208.787,179.833,184.639,190.249,149.023,187.13,241.597,293.571,290.052
0x072489220dfa8259fac8e3159c657d395929d21b,0,0,0,0,0,0,93.551,94.239,82.203,78.528,95.831,91.543
0x0735299df2887463d20657bb513ab8682f451f3e,0,0,0,0,0,0,0,42.603,42.792,35.346000000000004,154.18,75.98400000000001
0x074faba655050a79b9eddb6e7ed3b1d8996ea552,0,0,0,0,0,0,0,0,147.106,137.641,193.74800000000002,149.476
0x07500ea066a7bb9d3e8a36913c4c224c2e1bf903,0,0,0,0,0,0,0,0,0,236.631,528.832,501.617
0x075e6d453b1ea3c11ed88d385812be44e02e6dbe,0,0,0,0,0,0,0,0,0,0,913.586,787.532
0x076b8c4f30390dd2680bb550e67e48a61d110ae3,0,0,0,0,0,0,75.191,64.559,57.452,61.015,75.491,91.255
0x077eb7207315025bfd8dd65f5b81f8be612b3229,0,0,0,0,0,0,0,0,0,0,0,380.665
0x07850eca30c40924dabb1bdcf562a8cfd7b73c80,0,0,0,0,0,0,0,0,0,0,0,85.69500000000001
0x078c22d5906b913d7cc0d17433565ef5a9b3105d,142.382,105.436,110.263,102.693,88.334,96.792,91.474,100.757,77.32000000000001,97.063,122.132,100.506
0x079a366ad2adec9492b3cd0ab6bc4afdeaedeab1,0,0,365.505,288.709,214.654,245.69,243.50300000000001,241.737,205.50300000000001,263.67,379.548,337.979
0x07c836d3b3d859e2fc32fd31aa94e807899475e0,0,0,0,0,0,0,0,0,0,0,454.37,371.733
0x07c9ab0cbf71ea30a9015cedbbd90e8d9c7a8616,0,0,0,0,194.139,193.48,218.25900000000001,182.667,228.916,266.58,304.1,289.229
0x081555da214182ccdc1b573c02994eeac835e304,0,0,0,0,0,0,0,163.997,141.976,143.048,366.201,367.10699999999997
0x081eaf815a60b813eba8461527a754de6117cb0a,0,0,0,0,0,0,0,0,0,0,323.971,328.077
0x084c9fdce03f8440bfd211230aff08d028d84c0c,0,0,0,0,0,0,0,0,463.031,355.461,471.386,413.014
0x0855e8d7a87715f0897c22ca9dae898b8514715e,0,0,0,0,0,0,0,0,0,0,108.791,91.489
0x08623278722aa9b68ecb59d5ff9b6ae219ce3d91,0,199.902,218.65200000000002,186.945,134.243,176.929,177.831,194.035,180.757,183.167,218.89000000000001,260.621
0x087e8414ef3e98ee3878b0f764025f85522cb3e6,0,0,0,0,0,0,0,53.335,19.219,26.679000000000002,22.558,17.673000000000002
0x0884f5f1a29cfec66d0c43bf2f55c58aa3a471d2,0,0,0,0,0,0,0,0,0,223.942,308.61,286.678
0x089ac0acc696fdc48aa36ba0c6b416aa3d0fdd75,0,0,0,0,0,0,0,0,176.644,223.626,508.554,400.88
0x08a2eb28ceb9811ca363ced8d022a82364637cf5,0,0,0,0,0,0,0,0,0,250.279,441.858,326.213
0x08a955e8376882300eaa4382ab29f4ad8a515ff5,0,0,0,0,0,0,0,232.425,219.233,326.04,529.636,553.745
0x08b7f3d3ca048db4802fa249d52591047c1e4c1e,0,0,0,0,0,0,0,0,0,0,208.109,206.654
0x08eb6c3e69f6f6f331d7376894c55ee2e12d0b4e,865.038,613.645,553.655,528.237,338.15,512.059,439.262,253.582,460.609,320.16,776.369,684.851
0x08ed5bb4a1744a3c7432201e1d8c87006f6a0490,0,0,0,235.876,149.435,121.667,111.33,119.231,112.408,128.629,497.921,426.65
0x08f0c657df7019c874645e2246e0b840529a1249,0,0,0,0,0,0,0,0,102.264,104.712,140.096,111.289
0x09000b3bdbe964e44dccab42348acd867b4bba11,0,0,0,0,0,0,0,0,0,0,0,391.331
0x091e6452a3b5d6f5ed0364d4832757c726eb59a5,0,0,0,0,0,0,0,0,0,103.956,40.048,36.197
0x094530aa04b6290bc5f41f09a64e756fcb3bafef,0,195.158,21.647000000000002,21.826,20.907,262.577,136.377,27.051000000000002,38.28,219.181,136.144,14.197
0x094b4e471fa999e70db599977d9a9b1375733cce,0,0,0,0,0,0,0,0,0,0,805.222,886.4490000000001
0x09671261d3701f4c8efb2e64b6dbe26b8441b2ad,0,0,0,0,0,0,0,0,0,143.408,137.388,44.614000000000004
0x0969fdc6a2822977327cd1f8930c37d8d97f972a,0,0,252.477,127.78200000000001,118.897,191.098,176.342,207.52700000000002,178.36,109.476,195.398,245.058
0x096f9c2b63dc121663f9ce297feef4c93e2dcc30,0,0,0,0,0,0,0,337.943,320.132,431.824,404.584,419.16700000000003
0x096fa3d4f7a692bca65dfae1a7fcc01089685b58,405.213,359.649,451.589,378.658,325.277,372.37,374.05,433.503,372.075,364.649,366.45,318.031
0x099549300318c05625bf7df0bf18296e02be6128,0,0,0,71.44200000000001,61.39,75.982,74.70700000000001,71.529,56.996,55.909,73.858,60.527
0x09a675c343e68eb7bd80c7d4f7f987192b909664,0,0,0,0,0,0,0,0,0,0,0,214.249
0x09b1b0a0545c6ece08eeb8c1130e19fc5a5f0806,0,0,0,0,0,0,0,0,0,51.121,65.471,55.229
0x09da1413da6864bebe26229089b0e7cfe39fbad9,0,0,0,0,0,0,0,0,87.947,87.69500000000001,111.952,93.60600000000001
0x09db5aefa4f645f0094cb666140b8b3afb43d466,0,0,0,0,0,0,0,0,0,0,382.294,249.446
0x09e74fb3bd92748ec214d99b2cbb1b1f47d75d70,0,0,0,0,0,330.028,343.535,384.575,566.256,530.186,757.621,241.093
0x0a131aa30d6ffc75e99f1efe3ef27ab3a2172055,0,0,162.857,156.172,116.122,163.841,189.93,177.938,136.131,135.802,156.6,147.382
0x0a1642eba288d84b199b5e87ec1da613202b599d,0,0,0,0,0,0,0,0,0,95.007,111.118,95.913
0x0a357306f8a18e7ff863103092068b29ed665798,208.09,150.189,142.471,52.226,46.754,61.367000000000004,58.285000000000004,47.878,60.663000000000004,126.671,168.184,122.05
0x0a68e0f81509913d6b6bbfa3ad2fc63df28eca34,0,0,910.779,870.311,531.643,661.767,646.732,774.319,748.084,801.13,1362.454,1339.2930000000001
0x0a718955d569c5402974c2314c7a6065ba2f5045,0,0,96.238,84.064,61.605,44.618,43.576,43.9,117.539,121.326,109.44200000000001,148.123
0x0a7d02ab9cf4a3dd1a21f6940b5f8ad91fcbd13a,0,0,0,0,0,0,138.327,130.992,46.392,0.006,0.028,28.42
0x0a8904b7c06c8c5ca0fa2d0dbede68b5beccc5b2,0,0,0,0,175.427,157.98,159.968,168.433,250.089,200.675,244.119,216.955
0x0a8a2380901bf158be4a7bbd5e643a31efd018c0,0,0,0,0,0,0,147.524,159.607,147.625,130.987,165.11,144.25900000000001
0x0a8e7dc1cb9a857838b3fc532114af3a3aaee163,0,0,0,0,0,0,0,0,0,0,0,151.049
0x0a9ec1da352d7d278860abd5c0d160863d87edfd,0,0,786.267,678.017,470.4,276.766,124.75800000000001,263.063,312.665,525.625,890.616,770.4209999999999
0x0aa65b83815cd8e946ed4cc885cc6cb9e1ce4a8b,0,0,95.211,164.504,137.488,142.263,130.69,128.349,73.619,138.197,171.115,132.398
0x0ad995d7861ed4c24d5d3a4a4056a8a84309aa4b,0,0,0,0,0,0,0,0,144.386,133.357,192.998,157.761
0x0af1a109f5a17bb427c28ac0e202c3ee6aac1411,0,0,0,0,288.328,357.728,305.975,319.372,358.396,310.098,437.222,399.002
0x0b0eed2081528e9faf87165bec1dd7908cde84e0,0,0,0,0,0,0,0,0,0,93.331,145.912,123.601
0x0b18af73d7394d64ddd69b5a724e58b1a6326ce8,0,0,0,0,0,0,0,0,0,0,531.307,520.214
0x0b2d4edfff49629b574a9c4f841ebfbbf505eabe,0,0,0,0,0,150.235,164.345,151.876,140.026,133.456,237.655,148.666
0x0b63b94bca5d809e4953bbb6872977678fd102c3,0,171.178,175.31900000000002,155.11,137.235,141.171,141.029,149.874,135.639,136.228,170.246,149.892
0x0b66a3f669d0c01a90ed14c03f7ad7b5683b6d0d,0,0,0,0,82.172,96.517,92.901,89.598,78.768,91.379,123.41,110.768
0x0b68ff365271c890e66882963330e398809f09b4,0,0,0,582.982,491.469,522.494,517.087,548.062,508.849,494.663,609.989,519.893
0x0b6ef8377ea6af82dd9f6ff8adb288b3895d647d,0,0,0,0,0,0,0,0,119.168,99.388,140.183,97.985
0x0b7425edcb42ffa287e5fe5a38cd9d2216878b20,0,0,807.4780000000001,638.428,445.077,449.487,444.517,491.122,421.35,397.295,945.867,975.852
0x0b798455c92cf88ec61e078c8cfad80994476287,0,0,0,0,0,0,0,0,0,0,0,581.353
0x0b86ed2b1548d7d778390762baa7f335c72bf10b,0,0,0,0,0,0,0,0,0,0,260.425,196.517
0x0b93461ff342d0d15678ba839c352a17fa62d97e,0,0,0,281.821,139.223,118.095,142.002,129.835,114.622,224.988,395.701,342.524
0x0b97cd748d509f3b5eaad6ed3be397b92e7e5ae9,0,0,0,0,0,166.25300000000001,158.731,166.41400000000002,258.095,361.093,633.27,558.654
0x0bb3e76a57e589d8e2a930aa868c225f5347fc71,0,0,0,0,52.205,30.96,29.513,3.3569999999999998,0.018000000000000002,0.657,3.251,3.383
0x0bbb0a340501b70264e7b4e579624210f922fdd0,0,0,0,0,101.746,103.45,107.60300000000001,122.154,102.115,115.808,143.959,128.509
0x0bc137f8556730427c4c7ac7905c6b87c1f8f6c5,0,0,0,0,0,0,0,0,0,131.768,143.847,169.01
0x0be512ff1d3908afb76ca97a9da0221f703c7efe,0,0,0,0,377.458,368.774,353.32,385.235,344.134,351.872,494.459,419.362
0x0bebb672968bf87b76353494ef4694304b9f38d7,0,0,317.115,276.75100000000003,215.285,248.91500000000002,232.01,235.454,239.651,215.62,336.62,292.812
0x0c0c1606552f67e350242cd64a8daedac59d943e,0,0,0,0,0,0,356.473,374.716,382.955,420.743,560.655,486.022
0x0c2d98eadc21f87f39cc7b5f3138fe85383d91b6,0,0,0,0,0,0,298.175,378.969,263.407,288.062,308.811,271.546
0x0c415c3d919fc54b0412b3f5009cdd8817d350be,139.363,124.70400000000001,114.994,96.807,84.141,101.661,104.556,106.302,85.404,98.22,129.88400000000001,90.944
0x0c4dcd7e8ccd9f923d1411e01ae17468f5a3b25d,0,0,0,0,0,0,0,0,0,138.677,533.869,444.34499999999997
